path,exe,month,dom,dt,hr,min,tm
C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,AcroRd32.exe,1,27,0,22,35,1548608757
C:\Program Files (x86)\SCS Software\American Truck Simulator - Heavy Cargo Pack\bin\win_x64\amtrucks.exe,amtrucks.exe,1,27,0,22,37,1548608843
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,27,0,22,38,1548608934
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,27,0,22,38,1548608932
C:\Program Files (x86)\SCS Software\American Truck Simulator - Heavy Cargo Pack\bin\win_x64\amtrucks.exe,amtrucks.exe,1,27,0,22,41,1548609091
C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1805.1201.0_x64__8wekyb3d8bbwe\Calculator.exe,Calculator.exe,1,27,0,23,2,1548610374
D:\Games\Assassin s Creed Syndicate\ACS.exe,ACS.exe,1,27,0,23,6,1548610582
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,27,0,23,23,1548611633
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,27,0,23,23,1548611632
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,27,0,23,23,1548611639
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,0,8,1548614333
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,0,9,1548614341
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,51,1548692480
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,51,1548692490
C:\Program Files\JetBrains\CLion 2018.3.3\bin\clion64.exe,clion64.exe,1,28,1,21,51,1548692509
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,53,1548692609
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,53,1548692610
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,53,1548692608
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,53,1548692613
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,53,1548692611
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,53,1548692616
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,53,1548692617
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,53,1548692619
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,53,1548692620
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,53,1548692623
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,53,1548692625
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,54,1548692655
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,54,1548692671
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,54,1548692682
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,56,1548692798
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,53,1548692608
C:\Program Files (x86)\Microsoft Office\root\Office16\ONENOTEM.EXE,ONENOTEM.EXE,1,27,0,14,18,1548578909
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,56,1548692802
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,21,58,1548692897
C:\Program Files\Notepad++\notepad++.exe,notepad++.exe,1,28,1,22,0,1548693009
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,22,1,1548693098
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,chrome.exe,1,28,1,22,1,1548693099
C:\Program Files (x86)\Microsoft Office\root\Office16\ONENOTEM.EXE,ONENOTEM.EXE,1,28,1,22,10,1548693608
C:\Program Files\JetBrains\CLion 2018.3.3\bin\clion64.exe,clion64.exe,1,28,1,22,50,1548696049
C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\reader_sl.exe,reader_sl.exe,1,28,1,23,1,1548696675
